time,x,theta,vx,vtheta,force
6.799994,-2.330681,0.004436,-0.207894,-0.000072,0.052254
6.819994,-2.334821,0.004434,-0.207023,-0.000073,0.052237
6.839994,-2.338944,0.004433,-0.206153,-0.000074,0.052219
6.859994,-2.343050,0.004432,-0.205282,-0.000075,0.052202
6.879994,-2.347138,0.004430,-0.204412,-0.000076,0.052184
6.899994,-2.351209,0.004428,-0.203542,-0.000076,0.052166
6.919994,-2.355263,0.004427,-0.202673,-0.000077,0.052148
6.939994,-2.359299,0.004425,-0.201804,-0.000078,0.052129
6.959994,-2.363317,0.004424,-0.200935,-0.000079,0.052110
6.979994,-2.367319,0.004422,-0.200066,-0.000080,0.052091
6.999994,-2.371303,0.004421,-0.199198,-0.000081,0.052072
7.019994,-2.375269,0.004419,-0.198330,-0.000082,0.052053
7.039994,-2.379219,0.004417,-0.197462,-0.000083,0.052033
7.059994,-2.383150,0.004416,-0.196595,-0.000084,0.052013
7.079994,-2.387065,0.004414,-0.195728,-0.000085,0.051993
7.099994,-2.390962,0.004412,-0.194861,-0.000086,0.051973
7.119994,-2.394842,0.004410,-0.193995,-0.000087,0.051952
7.139994,-2.398705,0.004409,-0.193129,-0.000088,0.051932
7.159994,-2.402550,0.004407,-0.192264,-0.000089,0.051911
7.179994,-2.406378,0.004405,-0.191398,-0.000090,0.051889
7.199994,-2.410189,0.004403,-0.190533,-0.000091,0.051868
7.219994,-2.413982,0.004401,-0.189669,-0.000092,0.051846
7.239994,-2.417758,0.004400,-0.188805,-0.000093,0.051825
7.259994,-2.421517,0.004398,-0.187941,-0.000093,0.051802
7.279994,-2.425258,0.004396,-0.187077,-0.000094,0.051780
7.299994,-2.428983,0.004394,-0.186214,-0.000095,0.051758
7.319994,-2.432690,0.004392,-0.185352,-0.000096,0.051735
7.339994,-2.436380,0.004390,-0.184489,-0.000097,0.051712
7.359994,-2.440052,0.004388,-0.183627,-0.000098,0.051689
7.379994,-2.443707,0.004386,-0.182766,-0.000099,0.051666
7.399994,-2.447346,0.004384,-0.181905,-0.000100,0.051642
7.419994,-2.450966,0.004382,-0.181044,-0.000101,0.051618
7.439994,-2.454570,0.004380,-0.180183,-0.000102,0.051594
7.459994,-2.458157,0.004378,-0.179323,-0.000103,0.051570
7.479994,-2.461726,0.004376,-0.178464,-0.000104,0.051545
7.499994,-2.465278,0.004374,-0.177605,-0.000104,0.051521
7.519994,-2.468813,0.004372,-0.176746,-0.000105,0.051496
7.539994,-2.472331,0.004370,-0.175888,-0.000106,0.051471
7.559994,-2.475831,0.004367,-0.175030,-0.000107,0.051446
7.579994,-2.479315,0.004365,-0.174172,-0.000108,0.051420
7.599994,-2.482781,0.004363,-0.173315,-0.000109,0.051394
7.619994,-2.486230,0.004361,-0.172458,-0.000110,0.051368
7.639994,-2.489662,0.004359,-0.171602,-0.000111,0.051342
7.659994,-2.493077,0.004356,-0.170747,-0.000112,0.051316
7.679994,-2.496475,0.004354,-0.169891,-0.000112,0.051289
7.699994,-2.499856,0.004352,-0.169036,-0.000113,0.051263
7.719994,-2.503219,0.004350,-0.168182,-0.000114,0.051236
7.739994,-2.506566,0.004347,-0.167328,-0.000115,0.051209
7.759994,-2.509895,0.004345,-0.166474,-0.000116,0.051181
7.779994,-2.513208,0.004343,-0.165621,-0.000117,0.051154
7.799994,-2.516503,0.004340,-0.164769,-0.000118,0.051126
7.819993,-2.519781,0.004338,-0.163916,-0.000119,0.051098
7.839993,-2.523043,0.004336,-0.163065,-0.000120,0.051070
7.859993,-2.526287,0.004333,-0.162213,-0.000120,0.051041
7.879993,-2.529514,0.004331,-0.161363,-0.000121,0.051013
7.899993,-2.532724,0.004328,-0.160512,-0.000122,0.050984
7.919993,-2.535918,0.004326,-0.159663,-0.000123,0.050955
7.939993,-2.539094,0.004323,-0.158813,-0.000124,0.050925
7.959993,-2.542253,0.004321,-0.157964,-0.000125,0.050896
7.979993,-2.545396,0.004318,-0.157116,-0.000126,0.050866
7.999993,-2.548521,0.004316,-0.156268,-0.000126,0.050837
8.019994,-2.551629,0.004313,-0.155421,-0.000127,0.050807
8.039994,-2.554721,0.004311,-0.154574,-0.000128,0.050776
8.059995,-2.557795,0.004308,-0.153728,-0.000129,0.050746
8.079995,-2.560853,0.004306,-0.152882,-0.000130,0.050715
8.099996,-2.563894,0.004303,-0.152037,-0.000131,0.050684
8.119996,-2.566918,0.004300,-0.151192,-0.000132,0.050653
8.139997,-2.569925,0.004298,-0.150347,-0.000132,0.050622
8.159997,-2.572915,0.004295,-0.149504,-0.000133,0.050591
8.179997,-2.575888,0.004292,-0.148660,-0.000134,0.050559
8.199998,-2.578844,0.004290,-0.147818,-0.000135,0.050527
8.219998,-2.581784,0.004287,-0.146976,-0.000136,0.050495
8.239999,-2.584706,0.004284,-0.146134,-0.000137,0.050463
8.259999,-2.587612,0.004281,-0.145293,-0.000137,0.050430
8.280000,-2.590501,0.004279,-0.144452,-0.000138,0.050398
8.300000,-2.593374,0.004276,-0.143612,-0.000139,0.050365
8.320001,-2.596229,0.004273,-0.142773,-0.000140,0.050332
8.340001,-2.599068,0.004270,-0.141934,-0.000141,0.050299
8.360002,-2.601890,0.004267,-0.141095,-0.000142,0.050265
8.380002,-2.604695,0.004265,-0.140258,-0.000142,0.050232
8.400002,-2.607483,0.004262,-0.139420,-0.000143,0.050198
8.420003,-2.610255,0.004259,-0.138584,-0.000144,0.050164
8.440003,-2.613010,0.004256,-0.137747,-0.000145,0.050130
8.460004,-2.615748,0.004253,-0.136912,-0.000146,0.050095
8.480004,-2.618470,0.004250,-0.136077,-0.000146,0.050061
8.500005,-2.621174,0.004247,-0.135242,-0.000147,0.050026
8.520005,-2.623863,0.004244,-0.134409,-0.000148,0.049991
